Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Smiles,IC50,pChEMBL Value
CHEMBL194824,,None,328.72,1,5.21,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(Cl)c1,,
CHEMBL392144,,None,499.07,0,4.57,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(O)(CC)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,3.2,8.49
CHEMBL236192,,None,526.1,1,3.33,O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCCO)CC1,32,7.5
CHEMBL400420,,None,550.17,2,5.28,O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCC(N2CCCCC2)CC1,2.8,8.55
CHEMBL236190,,None,539.69,1,4.91,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(N4CCCCC4)CC3)CC2)N1S(=O)(=O)c1ccc(F)c(F)c1,6.9,8.16
CHEMBL236193,,None,510.1,1,4.5,O=C(O[C@H]1CCC2CCCC1N2S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,15,7.82
CHEMBL392060,,None,526.1,1,3.47,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CC4CCC(C3)N4CCO)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,7.7,8.11
CHEMBL3330752,,None,499.69,1,8.51,COc1ccc(-c2cc3c(s2)c2sc(-c4ccc(C=C(C#N)C#N)s4)cc2n3C(C)(C)C)cc1,10000,
CHEMBL3330735,,None,291.81,0,3.38,CN(C)c1ccc2nc3ccc(N)cc3[s+]c2c1.[Cl-],3000,
CHEMBL229907,,None,284.31,0,3.31,COc1ccc(/C=C/C(=O)c2ccc(OC)cc2O)cc1,8400,5.08
CHEMBL2407101,,None,386.44,0,4.11,CCOCCCOc1ccc(/C=C/C(=O)c2ccc(OC)cc2O)cc1OC,5800,5.24
CHEMBL2408264,,None,389.41,0,4.25,COc1ccc(C(=O)/C=C/c2ccc(C(=O)Nc3ccccc3O)cc2)c(O)c1,10100,5
CHEMBL199946,,None,655.88,2,5.1,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,5.2,8.28
CHEMBL3922663,,None,372.42,0,4.81,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc3ccccc3c2)ccc1O,590,6.23
CHEMBL3969106,,None,368.39,0,3.37,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cc(O)ccc2OC)ccc1O,1300,5.89
CHEMBL231351,,None,503.02,1,4.25,O=C(NCCCn1ccnc1)OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1,650,6.19
CHEMBL231647,,None,568.14,2,5.63,O=C(NC1CCN(Cc2ccccc2)CC1)OCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,900,6.05
CHEMBL196947,,None,348.37,0,4.98,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)cc3)c(F)c2)CC1,409000,
CHEMBL372846,,None,366.36,1,5.12,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,33600,4.47
