action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1451026,[],CHEMBL830113,Inhibition of Fibroblast activation protein alpha (seprase),B,,,BAO_0000190,BAO_0000357,single protein format,NC(CC(=O)N1CSC[C@H]1C(=O)NCc1ccc(CC(=O)O)cc1)Cc1ccccc1F.O=C(O)C(F)(F)F,,,CHEMBL1137046,Bioorg Med Chem Lett,2004.0,,CHEMBL183060,,CHEMBL1181588,,0,http://www.openphacts.org/units/Nanomolar,375053,>,1,1,>,,IC50,nM,,100000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,uM,UO_0000065,,100.0
,,1451411,[],CHEMBL830113,Inhibition of Fibroblast activation protein alpha (seprase),B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C2CCCCC2)cc1)C(=O)O.O=C(O)C(F)(F)F,,,CHEMBL1137046,Bioorg Med Chem Lett,2004.0,,CHEMBL183418,,CHEMBL1181593,,0,http://www.openphacts.org/units/Nanomolar,375081,>,1,1,>,,IC50,nM,,100000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,uM,UO_0000065,,100.0
,,1451892,[],CHEMBL830113,Inhibition of Fibroblast activation protein alpha (seprase),B,,,BAO_0000190,BAO_0000357,single protein format,NC(CC(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(=O)O)cc1)Cc1ccc(F)c(F)c1.O=C(O)C(F)(F)F,,,CHEMBL1137046,Bioorg Med Chem Lett,2004.0,,CHEMBL182223,,CHEMBL1181579,,0,http://www.openphacts.org/units/Nanomolar,375052,>,1,1,>,,IC50,nM,,100000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,uM,UO_0000065,,100.0
,,1452011,[],CHEMBL830113,Inhibition of Fibroblast activation protein alpha (seprase),B,,,BAO_0000190,BAO_0000357,single protein format,NC(CC(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(F)(F)F)cc1)Cc1ccccc1F.O=C(O)C(F)(F)F,,,CHEMBL1137046,Bioorg Med Chem Lett,2004.0,,CHEMBL435882,,CHEMBL1185838,,0,http://www.openphacts.org/units/Nanomolar,375136,>,1,1,>,,IC50,nM,,100000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,uM,UO_0000065,,100.0
,,1452395,[],CHEMBL830113,Inhibition of Fibroblast activation protein alpha (seprase),B,,,BAO_0000190,BAO_0000357,single protein format,NC(CC(=O)N1CCC[C@H]1C(=O)NCCCCc1nn[nH]n1)Cc1ccccc1F.O=C(O)C(F)(F)F,,,CHEMBL1137046,Bioorg Med Chem Lett,2004.0,,CHEMBL184346,,CHEMBL1181605,,0,http://www.openphacts.org/units/Nanomolar,375184,>,1,1,>,,IC50,nM,,100000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,uM,UO_0000065,,100.0
,,1452519,[],CHEMBL830113,Inhibition of Fibroblast activation protein alpha (seprase),B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2cc(F)ccc2F)cc1)C(=O)O.O=C(O)C(F)(F)F,,,CHEMBL1137046,Bioorg Med Chem Lett,2004.0,"{'bei': '9.04', 'le': '0.17', 'lle': '1.66', 'sei': '3.84'}",CHEMBL364102,,CHEMBL1184687,4.68,0,http://www.openphacts.org/units/Nanomolar,375355,=,1,1,=,,IC50,nM,,21000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,uM,UO_0000065,,21.0
,,1452530,[],CHEMBL830113,Inhibition of Fibroblast activation protein alpha (seprase),B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2c(F)c(F)c(F)c(F)c2F)cc1)C(=O)O.O=C(O)C(F)(F)F,,,CHEMBL1137046,Bioorg Med Chem Lett,2004.0,"{'bei': '7.56', 'le': '0.15', 'lle': '0.88', 'sei': '3.54'}",CHEMBL183289,,CHEMBL1181591,4.32,0,http://www.openphacts.org/units/Nanomolar,375357,=,1,1,=,,IC50,nM,,48000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,uM,UO_0000065,,48.0
,,1452934,[],CHEMBL830113,Inhibition of Fibroblast activation protein alpha (seprase),B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)Cc1ccc(CNC(=O)[C@@H]2CSCN2C(=O)CC(N)Cc2ccccc2F)cc1.O=C(O)C(F)(F)F,,,CHEMBL1137046,Bioorg Med Chem Lett,2004.0,,CHEMBL186482,,CHEMBL1181635,,0,http://www.openphacts.org/units/Nanomolar,375029,>,1,1,>,,IC50,nM,,100000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,uM,UO_0000065,,100.0
,,1603594,[],CHEMBL880566,Inhibitory activity against human FAP using Lys-Pro-AMC in fluorometric assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CNC1CCC1)N1CCC[C@H]1B(O)O,,,CHEMBL1141049,Bioorg Med Chem Lett,2005.0,"{'bei': '20.43', 'le': None, 'lle': None, 'sei': None}",CHEMBL382980,,CHEMBL382980,4.62,0,http://www.openphacts.org/units/Nanomolar,401072,=,1,1,=,,IC50,nM,,24000.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,24000.0
,,1603597,[],CHEMBL880566,Inhibitory activity against human FAP using Lys-Pro-AMC in fluorometric assay,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(CNC1CCCC1)N1CCC[C@H]1B(O)O,,,CHEMBL1141049,Bioorg Med Chem Lett,2005.0,"{'bei': '21.60', 'le': None, 'lle': None, 'sei': None}",CHEMBL371429,,CHEMBL371429,5.19,0,http://www.openphacts.org/units/Nanomolar,401073,=,1,1,=,,IC50,nM,,6500.0,CHEMBL4683,Homo sapiens,Fibroblast activation protein alpha,9606,,,IC50,nM,UO_0000065,,6500.0
